timestamp,side,alpha,beta,buy_count,sell_count,ratio
1739537955846,Sell,0.030,2.521,9,10,0.900
1739537956121,Buy,0.029,1.371,10,10,1.000
1739537956130,Buy,0.033,1.440,11,10,1.100
1739537956130,Buy,0.033,1.440,12,10,1.200
1739537956130,Buy,0.033,1.440,13,10,1.300
1739537956130,Buy,0.033,1.440,14,10,1.400
1739537956130,Buy,0.033,1.440,15,10,1.500
1739537956130,Buy,0.033,1.440,16,10,1.600
1739537956130,Buy,0.033,1.440,17,10,1.700
1739537956137,Buy,0.055,2.557,18,10,1.800
1739537956209,Buy,0.059,2.713,19,10,1.900
1739537956240,Buy,0.062,2.840,20,10,2.000
1739537956270,Sell,0.033,2.463,20,11,1.818
1739537956395,Buy,0.065,2.984,21,11,1.909
1739537956395,Buy,0.065,2.984,22,11,2.000
1739537956401,Sell,0.036,2.452,22,12,1.833
1739537956416,Buy,0.072,3.219,23,12,1.917
1739537956416,Buy,0.072,3.219,24,12,2.000
1739537956416,Buy,0.072,3.219,25,12,2.083
1739537957280,Buy,0.081,3.667,26,12,2.167
1739537957280,Buy,0.081,3.667,27,12,2.250
1739537957689,Sell,0.039,2.613,27,13,2.077
1739537959132,Sell,0.042,2.183,27,14,1.929
1739537959172,Buy,0.088,3.510,28,14,2.000
1739537960442,Buy,0.090,2.903,29,14,2.071
1739537960691,Sell,0.046,1.873,29,15,1.933
